ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2024-08-02T08:45:00Z,2024-08-02T06:45:00Z,2024-08-02,08:45:00,2024-08-03T17:00:00Z,2024-08-03T15:00:00Z,2024-08-03,17:00:00,310835000,9839399,QUEEN ANNE,Passatge,812,356,32251,Bermuda,BM,Porto,PTOPO,Civitavecchia,ITCVV,ADOSSAT/TERMINAL D,D,01D,10-16,NOATUM MARITIME SPAIN SAU,A,Autoritzada,50628-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310835000,NA,NA
2024-08-02T03:30:00Z,2024-08-02T01:30:00Z,2024-08-02,03:30:00,2024-08-02T17:00:00Z,2024-08-02T15:00:00Z,2024-08-02,17:00:00,311000341,9677076,NORWEGIAN ESCAPE,Passatge,862,414,3259,Bahames,BS,Palma de Mallorca,ESPMI,Cannes,FRCEQ,ADOSSAT/TERMINAL A,A,01D,31-37,TUI ESPAÑA TURISMO SL,A,Autoritzada,56428-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000341,NA,NA
2024-08-02T06:48:00Z,2024-08-02T04:48:00Z,2024-08-02,06:48:00,2024-08-02T18:00:00Z,2024-08-02T16:00:00Z,2024-08-02,18:00:00,256070000,9837420,MSC WORLD EUROPA,Passatge,94,NA,333,Malta,MT,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL B,B,01D,23-29,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,53578-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256070000,NA,NA
2024-08-02T04:45:00Z,2024-08-02T02:45:00Z,2024-08-02,04:45:00,2024-08-02T18:00:00Z,2024-08-02T16:00:00Z,2024-08-02,18:00:00,247435300,9781877,AIDACOSMA,Passatge,88,NA,337,Itàlia,IT,Palma de Mallorca,ESPMI,Marseille,FRMRS,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,53077-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247435300,NA,NA
