ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-09-28T01:52:00Z,2025-09-27T23:52:00Z,2025-09-28,01:52:00,2025-09-28T17:30:00Z,2025-09-28T15:30:00Z,2025-09-28,17:30:00,311020700,9383948,ALLURE OF THE SEAS,Passatge,93,NA,360,Bahames,BS,Napoli,ITNAP,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL B,B,01D,20-27,BALEARES CONSIGNATARIOS SLU,I,Iniciada,60140-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311020700,ALLURE OF THE SEAS,433.04
2025-09-28T06:42:00Z,2025-09-28T04:42:00Z,2025-09-28,06:42:00,2025-09-28T18:00:00Z,2025-09-28T16:00:00Z,2025-09-28,18:00:00,247391900,9781889,COSTA SMERALDA,Passatge,88,NA,337,Itàlia,IT,Savona,ITSVN,Marseille,FRMRS,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,60967-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247391900,COSTA SMERALDA,460.84000000000003
2025-09-28T05:30:00Z,2025-09-28T03:30:00Z,2025-09-28,05:30:00,2025-09-28T17:00:00Z,2025-09-28T15:00:00Z,2025-09-28,17:00:00,311050800,9606912,NORWEGIAN BREAKAWAY,Passatge,86,397,32564,Bahames,BS,Cannes,FRCEQ,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL A,A,01D,31-37,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,74679-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311050800,NORWEGIAN BREAKAWAY,411.9
