ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-11-30T07:00:00Z,2025-11-30T06:00:00Z,2025-11-30,07:00:00,2025-12-02T18:00:00Z,2025-12-02T17:00:00Z,2025-12-02,18:00:00,257944000,9852444,VIKING VESTA,Passatge,645,NA,228,Noruega,NO,Marseille,FRMRS,Valencia,ESVLC,ADOSSAT/TERMINAL C,C,01D,18-22,A PEREZ Y CIA SL,A,Autoritzada,60094-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:257944000,NA,NA
2025-11-30T05:30:00Z,2025-11-30T04:30:00Z,2025-11-30,05:30:00,2025-11-30T16:00:00Z,2025-11-30T15:00:00Z,2025-11-30,16:00:00,357281000,9210141,MSC ARMONIA,Passatge,694,NA,2749,Panamà,PA,Civitavecchia,ITCVV,Casablanca,MACAS,ADOSSAT/TERMINAL A,A,01D,31-37,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,72874-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:357281000,MSC ARMONIA,400.68
2025-11-30T07:30:00Z,2025-11-30T06:30:00Z,2025-11-30,07:30:00,2025-11-30T18:00:00Z,2025-11-30T17:00:00Z,2025-11-30,18:00:00,247431200,9781891,COSTA TOSCANA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Napoli,ITNAP,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,76771-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247431200,NA,NA
2025-11-30T07:00:00Z,2025-11-30T06:00:00Z,2025-11-30,07:00:00,2025-11-30T18:00:00Z,2025-11-30T17:00:00Z,2025-11-30,18:00:00,372497000,9320099,MSC ORCHESTRA,Passatge,785,NA,294,Panamà,PA,Valencia,ESVLC,Marseille,FRMRS,ADOSSAT/TERMINAL H,H,01C,6-12,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,72153-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:372497000,MSC ORCHESTRA,341.36
