ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-06-24T07:12:00Z,2025-06-24T05:12:00Z,2025-06-24,07:12:00,2025-06-24T18:30:00Z,2025-06-24T16:30:00Z,2025-06-24,18:30:00,247431200,9781891,COSTA TOSCANA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Ibiza,ESIBZ,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,60808-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247431200,NA,NA
2025-06-24T06:45:00Z,2025-06-24T04:45:00Z,2025-06-24,06:45:00,2025-06-24T21:00:00Z,2025-06-24T19:00:00Z,2025-06-24,21:00:00,538007673,9807085,SEVEN SEAS SPLENDOR,Passatge,72,31,22388,Illes Marshall,MH,Toulon,FRTLN,Castellon de la Plana,ESCAS,ADOSSAT/TERMINAL B,B,01D,24-29,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,73382-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538007673,SEVEN SEAS SPLENDOR,243.79
2025-06-24T07:00:00Z,2025-06-24T05:00:00Z,2025-06-24,07:00:00,2025-06-24T18:00:00Z,2025-06-24T16:00:00Z,2025-06-24,18:00:00,248392000,9745366,MSC SEASIDE,Passatge,88,NA,323,Malta,MT,Marseille,FRMRS,La Goulette Nord (Halqueloued),TNLGN,ADOSSAT/TERMINAL H,H,01C,6-12,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,72554-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248392000,MSC SEASIDE,522.6
