ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2026-04-02T06:00:00Z,2026-04-02T04:00:00Z,2026-04-02,06:00:00,2026-04-02T20:00:00Z,2026-04-02T18:00:00Z,2026-04-02,20:00:00,256389000,9869875,EXPLORA I,Passatge,709,NA,24886,Malta,MT,Valencia,ESVLC,Napoli,ITNAP,ADOSSAT/TERMINAL H,H,01C,7-12,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,81114-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256389000,NA,NA
2026-04-02T07:00:00Z,2026-04-02T05:00:00Z,2026-04-02,07:00:00,2026-04-05T20:30:00Z,2026-04-05T18:30:00Z,2026-04-05,20:30:00,205788000,8800195,LA BELLE DES OCEANS,Passatge,431,NA,10297,Bèlgica,BE,Tarragona,ESTAR,Ibiza,ESIBZ,BARCELONA/TERMINAL SUD,S,18C,2-4,TRANSPORTES CONSIGNACION MARITIMAS SA,A,Autoritzada,82136-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:205788000,LA BELLE DES OCEANS,61.190000000000005
