ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-05-15T05:45:00Z,2025-05-15T03:45:00Z,2025-05-15,05:45:00,2025-05-15T18:00:00Z,2025-05-15T16:00:00Z,2025-05-15,18:00:00,248513000,9783564,MEIN SCHIFF 1,Passatge,8,42,316,Malta,MT,Marseille,FRMRS,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL A,A,01D,31-37,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,73328-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248513000,MEIN SCHIFF 1,253.66
2025-05-15T08:00:00Z,2025-05-15T06:00:00Z,2025-05-15,08:00:00,2025-05-15T18:00:00Z,2025-05-15T16:00:00Z,2025-05-15,18:00:00,249053000,9106302,MARELLA VOYAGER,Passatge,8,32,263,Malta,MT,Toulon,FRTLN,Valencia,ESVLC,ADOSSAT/TERMINAL C,C,01D,17-22,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,73331-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249053000,MEIN SCHIFF HERZ,442.48999999999995
2025-05-15T08:00:00Z,2025-05-15T06:00:00Z,2025-05-15,08:00:00,2025-05-15T19:30:00Z,2025-05-15T17:30:00Z,2025-05-15,19:30:00,372497000,9320099,MSC ORCHESTRA,Passatge,785,NA,294,Panamà,PA,Marseille,FRMRS,Ibiza,ESIBZ,ADOSSAT/TERMINAL H,H,01C,6-12,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,71930-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:372497000,MSC ORCHESTRA,341.36
