ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2026-04-04T14:00:00Z,2026-04-04T12:00:00Z,2026-04-04,14:00:00,2026-04-04T20:00:00Z,2026-04-04T18:00:00Z,2026-04-04,20:00:00,247282900,9398917,COSTA DELIZIOSA,Passatge,81,NA,294,Itàlia,IT,Las Palmas,ESLPA,Marseille,FRMRS,ADOSSAT/TERMINAL D,D,01D,10-16,NOATUM MARITIME SPAIN SAU,A,Autoritzada,79928-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247282900,COSTA DELIZIOSA,409.06
2026-04-04T05:15:00Z,2026-04-04T03:15:00Z,2026-04-04,05:15:00,2026-04-04T17:00:00Z,2026-04-04T15:00:00Z,2026-04-04,17:00:00,310841000,9863118,SUN PRINCESS,Passatge,86,NA,3455,Bermuda,BM,Messina,ITMSN,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL E,E,01D,2-8,OCEAN PORTS & SHIPPING SL,A,Autoritzada,80867-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310841000,NA,NA
2026-04-04T07:00:00Z,2026-04-04T05:00:00Z,2026-04-04,07:00:00,2026-04-04T18:00:00Z,2026-04-04T16:00:00Z,2026-04-04,18:00:00,357698000,9359806,MSC SPLENDIDA,Passatge,868,NA,333,Panamà,PA,La Goulette Nord (Halqueloued),TNLGN,Marseille,FRMRS,ADOSSAT/TERMINAL H,H,01C,6-12,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,81119-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:357698000,MSC SPLENDIDA,505.66
