ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2024-11-14T05:30:00Z,2024-11-14T04:30:00Z,2024-11-14,05:30:00,2024-11-14T18:00:00Z,2024-11-14T17:00:00Z,2024-11-14,18:00:00,311001127,9823998,NORWEGIAN VIVA,Passatge,87,405,2934,Bahames,BS,Palma de Mallorca,ESPMI,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,31-37,TUI ESPAÑA TURISMO SL,A,Autoritzada,58831-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311001127,NA,NA
2024-11-14T05:30:00Z,2024-11-14T04:30:00Z,2024-11-14,05:30:00,2024-11-14T17:00:00Z,2024-11-14T16:00:00Z,2024-11-14,17:00:00,NA,9438078,RIVIERA,Passatge,76,322,2393,Illes Marshall,MH,Palma de Mallorca,ESPMI,Cadiz,ESCAD,ADOSSAT/TERMINAL B,B,01D,24-29,TUI ESPAÑA TURISMO SL,A,Autoritzada,58845-1,NA,RIVIERA,323.46999999999997
2024-11-14T08:00:00Z,2024-11-14T07:00:00Z,2024-11-14,08:00:00,2024-11-14T17:30:00Z,2024-11-14T16:30:00Z,2024-11-14,17:30:00,309653000,9342281,NORWEGIAN PEARL,Passatge,86,322,29415,Bahames,BS,Villefranche-sur-Mer,FRVFM,Cartagena,ESCAR,ADOSSAT/TERMINAL C,C,01D,17-22,TUI ESPAÑA TURISMO SL,A,Autoritzada,58842-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:309653000,NORWEGIAN PEARL,422.04
