ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2026-08-31T06:30:00Z,2026-08-31T04:30:00Z,2026-08-31,06:30:00,2026-08-31T17:00:00Z,2026-08-31T15:00:00Z,2026-08-31,17:00:00,247391900,9781889,COSTA SMERALDA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Ibiza,ESIBZ,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,79811-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247391900,COSTA SMERALDA,460.84000000000003
2026-08-31T05:47:00Z,2026-08-31T03:47:00Z,2026-08-31,05:47:00,2026-08-31T17:00:00Z,2026-08-31T15:00:00Z,2026-08-31,17:00:00,308865000,9128532,NORWEGIAN SKY,Passatge,802,3225,2586,Bahames,BS,Palma de Mallorca,ESPMI,Villefranche-sur-Mer,FRVFM,ADOSSAT/TERMINAL C,C,01D,17-22,INTERCRUISES PORT OPERATIONS SPAIN SLU,I,Iniciada,81894-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:308865000,NA,NA
2026-08-31T05:30:00Z,2026-08-31T03:30:00Z,2026-08-31,05:30:00,2026-08-31T20:00:00Z,2026-08-31T18:00:00Z,2026-08-31,20:00:00,256389000,9869875,EXPLORA I,Passatge,709,NA,24886,Malta,MT,Mahon Menorca,ESMAH,Ibiza,ESIBZ,ADOSSAT/TERMINAL H,H,01C,7-12,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,82141-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256389000,NA,NA
