imo,mmsi,flag,call_sign,size,gt,dwt,build,status,owner,type,nombre,departure,arrival,origen,origen_code,destino,destino_code,Time Travelled,Remaining Time,Distance Travelled,Remaining Distance,AVG Speed,MAX Speed,AVG Wind,MAX Wind,MIN Temp,MAX Temp,Draught,Position Received,url
9744001,311000660,Bahamas,C6DF6,362 x 66 m,NA,NA,---,Active,,Passenger,SYMPHONY OF THE SEAS,2023-05-19 17:49 (UTC),2023-05-21 01:57 (UTC),NAPOLI,ITNAP,BARCELONA,ESBCN,1 day,12 mins,561.35 nm,5.15 nm,18.3 Knots,20.8 Knots,9.3 knots,26 knots,14.4°C / 57.92°F,21.3°C / 70.34°F,9.3 m,1 m ago,https://www.myshiptracking.com/vessels/mmsi-311000660-imo-9744001
9226906,310459000,Bermuda,ZCDN2,285 x 32 m,83.781,10.939,2005,Active,,Passengers Ship,ARCADIA,2023-05-20 16:11 (UTC),2023-05-21 04:10 (UTC),VALENCIA,ESVLC,BARCELONA,ESBCN,"9 h, 34 mins","2 h, 25 mins",118.51 nm,44.65 nm,14.1 Knots,14.7 Knots,10.5 knots,13 knots,17.6°C / 63.68°F,18.6°C / 65.48°F,8.2 m,"7 h, 7 m ago",https://www.myshiptracking.com/vessels/mmsi-310459000-imo-9226906
9781891,247431200,Italy,IBIM,337 x 58 m,NA,NA,---,Active,,Passenger,COSTA TOSCANA,2023-05-20 16:23 (UTC),2023-05-21 04:45 (UTC),MARSEILLE,FRMRS,BARCELONA,ESBCN,"9 h, 22 mins",---,25.19 nm,---,15.1 Knots,15.5 Knots,9.4 knots,15 knots,15.1°C / 59.18°F,15.2°C / 59.36°F,8.8 m,"7 h, 36 m ago",https://www.myshiptracking.com/vessels/mmsi-247431200-imo-9781891
9805336,311000983,Bahamas,C6ER7,277 x 42 m,NA,NA,---,Active,,Passenger,VALIANT LADY,2023-05-20 16:29 (UTC),2023-05-21 03:44 (UTC),IBIZA,ESIBZ,BARCELONA,ESBCN,"9 h, 16 mins","1 h, 59 mins",127.27 nm,---,14 Knots,17.3 Knots,4.3 knots,7 knots,17.8°C / 64.04°F,19.5°C / 67.1°F,8 m,1 d ago,https://www.myshiptracking.com/vessels/mmsi-311000983-imo-9805336
