ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2026-07-05T04:19:00Z,2026-07-05T02:19:00Z,2026-07-05,04:19:00,2026-07-05T17:00:00Z,2026-07-05T15:00:00Z,2026-07-05,17:00:00,311000396,9682875,HARMONY OF THE SEAS,Passatge,93,NA,36212,Bahames,BS,Napoli,ITNAP,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL B,B,01D,19-26,BALEARES CONSIGNATARIOS SLU,I,Iniciada,79362-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000396,HARMONY OF THE SEAS,453.25
2026-07-05T06:48:00Z,2026-07-05T04:48:00Z,2026-07-05,06:48:00,2026-07-05T18:00:00Z,2026-07-05T16:00:00Z,2026-07-05,18:00:00,247431200,9781891,COSTA TOSCANA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Cagliari,ITCAG,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,79541-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247431200,NA,NA
2026-07-05T04:30:00Z,2026-07-05T02:30:00Z,2026-07-05,04:30:00,2026-07-05T16:00:00Z,2026-07-05T14:00:00Z,2026-07-05,16:00:00,311307000,9195169,NORWEGIAN DAWN,Passatge,82,322,29413,Bahames,BS,Palma de Mallorca,ESPMI,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL A,A,01D,31-37,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,81855-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311307000,NORWEGIAN DAWN,402.46
2026-07-05T06:00:00Z,2026-07-05T04:00:00Z,2026-07-05,06:00:00,2026-07-05T18:00:00Z,2026-07-05T16:00:00Z,2026-07-05,18:00:00,311050600,9064126,SEVEN SEAS NAVIGATOR,Passatge,7,25,172,Bahames,BS,Agadir,MAAGA,Malaga,ESAGP,ADOSSAT/TERMINAL D,D,01D,12-15,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,81856-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311050600,SEVEN SEAS NAVIGATOR,196.58
2026-07-05T07:00:00Z,2026-07-05T05:00:00Z,2026-07-05,07:00:00,2026-07-05T18:00:00Z,2026-07-05T16:00:00Z,2026-07-05,18:00:00,357698000,9359806,MSC SPLENDIDA,Passatge,868,NA,333,Panamà,PA,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL H,H,01C,6-12,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,81749-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:357698000,MSC SPLENDIDA,505.66
