imo,mmsi,flag,call_sign,size,gt,dwt,build,status,owner,type,nombre,departure,arrival,origen,origen_code,destino,destino_code,Time Travelled,Remaining Time,Distance Travelled,Remaining Distance,AVG Speed,MAX Speed,AVG Wind,MAX Wind,MIN Temp,MAX Temp,Draught,Position Received,url
9438066,538003668,Marshall Is,V7SK2,238 x 32 m,66.084,7.662,2011,Active,,Passengers Ship,MARINA,2023-05-16 17:10 (UTC),2023-05-18 04:02 (UTC),VALLETTA,MTMLA,BARCELONA,ESBCN,1 day,"2 h, 23 mins",373.63 nm,619.26 nm,18.1 Knots,19.5 Knots,19.7 knots,26 knots,16.2°C / 61.16°F,18.4°C / 65.12°F,7.4 m,1 d ago,https://www.myshiptracking.com/vessels/mmsi-538003668-imo-9438066
9725421,258215000,Norway,LAWP7,228 x 30 m,NA,NA,---,Active,,Passenger,VIKING SEA,2023-05-17 16:04 (UTC),2023-05-18 03:38 (UTC),MARSEILLE,FRMRS,BARCELONA,ESBCN,"9 h, 35 mins","1 h, 59 mins",22.28 nm,168.02 nm,16.3 Knots,16.9 Knots,5.7 knots,17.7 knots,16.8°C / 62.24°F,17.9°C / 64.22°F,6.8 m,"8 h, 3 m ago",https://www.myshiptracking.com/vessels/mmsi-258215000-imo-9725421
