ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2023-11-18T04:30:00Z,2023-11-18T03:30:00Z,2023-11-18,04:30:00,2023-11-18T17:00:00Z,2023-11-18T16:00:00Z,2023-11-18,17:00:00,249048000,9189421,CELEBRITY INFINITY,Passatge,83,NA,294,Malta,MT,Valencia,ESVLC,Valencia,ESVLC,ADOSSAT/TERMINAL B,B,01D,24-29,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,40701-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249048000,CELEBRITY INFINITY,463.1
2023-11-18T06:30:00Z,2023-11-18T05:30:00Z,2023-11-18,06:30:00,2023-11-18T18:00:00Z,2023-11-18T17:00:00Z,2023-11-18,18:00:00,370648000,9359791,MSC FANTASIA,Passatge,865,NA,3333,Panamà,PA,Palma de Mallorca,ESPMI,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,31-37,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,43153-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:370648000,MSC FANTASIA,794.16
2023-11-18T06:00:00Z,2023-11-18T05:00:00Z,2023-11-18,06:00:00,2023-11-18T19:00:00Z,2023-11-18T18:00:00Z,2023-11-18,19:00:00,311513000,9247144,SEVEN SEAS VOYAGER,Passatge,7,288,206,Bahames,BS,Mahon Menorca,ESMAH,Cadiz,ESCAD,ADOSSAT/TERMINAL C,C,01D,18-22,TUI ESPAÑA TURISMO SL,A,Autoritzada,48806-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311513000,SEVEN SEAS VOYAGER,239.73999999999998
2023-11-18T05:00:00Z,2023-11-18T04:00:00Z,2023-11-18,05:00:00,2023-11-18T18:00:00Z,2023-11-18T17:00:00Z,2023-11-18,18:00:00,538001665,9200938,NAUTICA,Passatge,6,25,181,Illes Marshall,MH,Valencia,ESVLC,Toulon,FRTLN,BARCELONA/TERMINAL SUD,S,18C,1-4,TUI ESPAÑA TURISMO SL,A,Autoritzada,48804-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538001665,NAUTICA,179.7
