ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2026-05-26T06:00:00Z,2026-05-26T04:00:00Z,2026-05-26,06:00:00,2026-05-26T18:30:00Z,2026-05-26T16:30:00Z,2026-05-26,18:30:00,247322800,9601132,AIDASTELLA,Passatge,73,NA,25326,Itàlia,IT,Mahon Menorca,ESMAH,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL D,D,01D,10-15,NOATUM MARITIME SPAIN SAU,A,Autoritzada,79656-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247322800,AIDASTELLA,354.96
2026-05-26T05:00:00Z,2026-05-26T03:00:00Z,2026-05-26,05:00:00,2026-05-26T18:00:00Z,2026-05-26T16:00:00Z,2026-05-26,18:00:00,538012045,9200940,AZAMARA JOURNEY,Passatge,595,2546,181,Illes Marshall,MH,Palma de Mallorca,ESPMI,Port-Vendres,FRPOV,BARCELONA/TERMINAL SUD,S,18C,1-4,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,79380-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538012045,AZAMARA JOURNEY,165.38000000000002
2026-05-26T07:00:00Z,2026-05-26T05:00:00Z,2026-05-26,07:00:00,2026-05-26T18:00:00Z,2026-05-26T16:00:00Z,2026-05-26,18:00:00,249973000,9760512,MSC MERAVIGLIA,Passatge,875,NA,31583,Malta,MT,Marseille,FRMRS,La Goulette Nord (Halqueloued),TNLGN,ADOSSAT/TERMINAL H,H,01C,6-12,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,81390-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249973000,MSC MERAVIGLIA,462.48999999999995
