ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2026-04-24T12:30:00Z,2026-04-24T10:30:00Z,2026-04-24,12:30:00,2026-04-24T19:30:00Z,2026-04-24T17:30:00Z,2026-04-24,19:30:00,247313500,9479864,COSTA FASCINOSA,Passatge,83,NA,28958,Itàlia,IT,Savona,ITSVN,Marseille,FRMRS,ADOSSAT/TERMINAL D,D,01D,10-16,NOATUM MARITIME SPAIN SAU,A,Autoritzada,79988-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247313500,COSTA FASCINOSA,937.64
2026-04-24T04:45:00Z,2026-04-24T02:45:00Z,2026-04-24,04:45:00,2026-04-24T18:00:00Z,2026-04-24T16:00:00Z,2026-04-24,18:00:00,247435300,9781877,AIDACOSMA,Passatge,88,NA,337,Itàlia,IT,Ajaccio,FRAJA,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,79972-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247435300,NA,NA
2026-04-24T07:00:00Z,2026-04-24T05:00:00Z,2026-04-24,07:00:00,2026-04-24T18:00:00Z,2026-04-24T16:00:00Z,2026-04-24,18:00:00,249556000,8708672,CORINTHIAN,Passatge,4,NA,8832,Malta,MT,Valencia,ESVLC,Tarragona,ESTAR,BARCELONA/TERMINAL SUD,S,18C,1-3,NOATUM MARITIME SPAIN SAU,A,Autoritzada,79977-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249556000,NA,NA
2026-04-24T04:30:00Z,2026-04-24T02:30:00Z,2026-04-24,04:30:00,2026-04-24T17:00:00Z,2026-04-24T15:00:00Z,2026-04-24,17:00:00,309951000,9355733,NORWEGIAN GEM,Passatge,8,32,294,Bahames,BS,Cannes,FRCEQ,Marseille,FRMRS,ADOSSAT/TERMINAL C,C,01D,17-23,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,81798-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:309951000,NA,NA
2026-04-24T06:42:00Z,2026-04-24T04:42:00Z,2026-04-24,06:42:00,2026-04-24T18:00:00Z,2026-04-24T16:00:00Z,2026-04-24,18:00:00,256070000,9837420,MSC WORLD EUROPA,Passatge,915,NA,3333,Malta,MT,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL H,H,01C,7-13,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,81136-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256070000,NA,NA
