ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-05-16T04:00:00Z,2025-05-16T02:00:00Z,2025-05-16,04:00:00,2025-05-16T17:00:00Z,2025-05-16T15:00:00Z,2025-05-16,17:00:00,311317000,9161716,VOYAGER OF THE SEAS,Passatge,91,NA,31112,Bahames,BS,Palma de Mallorca,ESPMI,Ajaccio,FRAJA,ADOSSAT/TERMINAL B,B,01D,23-29,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,60284-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311317000,NA,NA
2025-05-16T06:30:00Z,2025-05-16T04:30:00Z,2025-05-16,06:30:00,2025-05-16T17:00:00Z,2025-05-16T15:00:00Z,2025-05-16,17:00:00,311361000,9195200,BRILLIANCE OF THE SEAS,Passatge,85,322,29395,Bahames,BS,Marseille,FRMRS,Palermo,ITPMO,ADOSSAT/TERMINAL C,C,01D,17-22,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,60174-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311361000,BRILLIANCE OF THE SEAS,393.13
2025-05-16T07:30:00Z,2025-05-16T05:30:00Z,2025-05-16,07:30:00,2025-05-16T19:30:00Z,2025-05-16T17:30:00Z,2025-05-16,19:30:00,247313500,9479864,COSTA FASCINOSA,Passatge,83,NA,28958,Itàlia,IT,Zakynthos,GRZTH,Marseille,FRMRS,ADOSSAT/TERMINAL D,D,01D,10-16,NOATUM MARITIME SPAIN SAU,A,Autoritzada,60843-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247313500,COSTA FASCINOSA,937.64
2025-05-16T04:44:00Z,2025-05-16T02:44:00Z,2025-05-16,04:44:00,2025-05-16T18:00:00Z,2025-05-16T16:00:00Z,2025-05-16,18:00:00,247435300,9781877,AIDACOSMA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,60677-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247435300,NA,NA
2025-05-16T05:30:00Z,2025-05-16T03:30:00Z,2025-05-16,05:30:00,2025-05-16T16:00:00Z,2025-05-16T14:00:00Z,2025-05-16,16:00:00,309653000,9342281,NORWEGIAN PEARL,Passatge,86,322,29415,Bahames,BS,Palma de Mallorca,ESPMI,Cannes,FRCEQ,ADOSSAT/TERMINAL A,A,01D,31-36,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,73330-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:309653000,NORWEGIAN PEARL,422.04
2025-05-16T06:42:00Z,2025-05-16T04:42:00Z,2025-05-16,06:42:00,2025-05-16T18:00:00Z,2025-05-16T16:00:00Z,2025-05-16,18:00:00,256070000,9837420,MSC WORLD EUROPA,Passatge,94,NA,333,Malta,MT,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL H,H,01C,7-13,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,71739-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256070000,NA,NA
