ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2024-07-02T05:29:00Z,2024-07-02T03:29:00Z,2024-07-02,05:29:00,2024-07-02T17:00:00Z,2024-07-02T15:00:00Z,2024-07-02,17:00:00,249667000,9372456,CELEBRITY EQUINOX,Passatge,862,NA,3172,Malta,MT,Malta (Valetta),MTMLA,Cadiz,ESCAD,ADOSSAT/TERMINAL B,B,01D,25-31,BALEARES CONSIGNATARIOS SLU,I,Iniciada,50247-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249667000,NA,NA
2024-07-02T07:23:00Z,2024-07-02T05:23:00Z,2024-07-02,07:23:00,2024-07-02T18:00:00Z,2024-07-02T16:00:00Z,2024-07-02,18:00:00,232040520,9849693,ARVIA,Passatge,88,NA,344,Regne Unit,GB,Malaga,ESAGP,Cadiz,ESCAD,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,I,Iniciada,50587-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:232040520,NA,NA
2024-07-02T07:06:00Z,2024-07-02T05:06:00Z,2024-07-02,07:06:00,2024-07-02T18:00:00Z,2024-07-02T16:00:00Z,2024-07-02,18:00:00,215325000,9803613,MSC GRANDIOSA,Passatge,875,NA,331,Malta,MT,Marseille,FRMRS,La Goulette Nord (Halqueloued),TNLGN,ADOSSAT/TERMINAL C,C,01D,17-23,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,I,Iniciada,54955-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215325000,MSC GRANDIOSA,440.53
