ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2024-04-14T06:15:00Z,2024-04-14T04:15:00Z,2024-04-14,06:15:00,2024-04-14T21:00:00Z,2024-04-14T19:00:00Z,2024-04-14,21:00:00,310556000,9169524,AURORA,Passatge,84,NA,270,Bermuda,BM,Cadiz,ESCAD,Genoa,ITGOA,ADOSSAT/TERMINAL D,D,01D,10-15,NOATUM MARITIME SPAIN SAU,A,Autoritzada,50597-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310556000,AURORA,298.8
2024-04-14T05:30:00Z,2024-04-14T03:30:00Z,2024-04-14,05:30:00,2024-04-14T20:00:00Z,2024-04-14T18:00:00Z,2024-04-14,20:00:00,538007673,9807085,SEVEN SEAS SPLENDOR,Passatge,7,31,224,Illes Marshall,MH,Alicante,ESALC,Castellon de la Plana,ESCAS,ADOSSAT/TERMINAL B,B,01D,25-29,TUI ESPAÑA TURISMO SL,A,Autoritzada,53173-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538007673,SEVEN SEAS SPLENDOR,243.79
2024-04-14T07:00:00Z,2024-04-14T05:00:00Z,2024-04-14,07:00:00,2024-04-14T22:00:00Z,2024-04-14T20:00:00Z,2024-04-14,22:00:00,229678000,9678408,MEIN SCHIFF 4,Passatge,8,36,293,Malta,MT,Toulon,FRTLN,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL C,C,01D,17-22,TUI ESPAÑA TURISMO SL,A,Autoritzada,53175-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:229678000,MEIN SCHIFF 4,299.64000000000004
2024-04-14T07:45:00Z,2024-04-14T05:45:00Z,2024-04-14,07:45:00,2024-04-14T18:30:00Z,2024-04-14T16:30:00Z,2024-04-14,18:30:00,247391900,9781889,COSTA SMERALDA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Cagliari,ITCAG,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,52905-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247391900,COSTA SMERALDA,460.84000000000003
