ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-04-16T06:30:00Z,2025-04-16T04:30:00Z,2025-04-16,06:30:00,2025-04-16T18:00:00Z,2025-04-16T16:00:00Z,2025-04-16,18:00:00,247313500,9479864,COSTA FASCINOSA,Passatge,83,NA,28958,Itàlia,IT,Valencia,ESVLC,Marseille,FRMRS,ADOSSAT/TERMINAL D,D,01D,10-16,NOATUM MARITIME SPAIN SAU,A,Autoritzada,60442-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247313500,COSTA FASCINOSA,937.64
2025-04-16T11:30:00Z,2025-04-16T09:30:00Z,2025-04-16,11:30:00,2025-04-16T18:00:00Z,2025-04-16T16:00:00Z,2025-04-16,18:00:00,247311100,9479852,COSTA FAVOLOSA,Passatge,83,NA,28965,Itàlia,IT,Savona,ITSVN,Marseille,FRMRS,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,60448-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247311100,COSTA FAVOLOSA,1419.09
2025-04-16T03:30:00Z,2025-04-16T01:30:00Z,2025-04-16,03:30:00,2025-04-16T16:00:00Z,2025-04-16T14:00:00Z,2025-04-16,16:00:00,311050800,9606912,NORWEGIAN BREAKAWAY,Passatge,9,40,326,Bahames,BS,Palma de Mallorca,ESPMI,Ibiza,ESIBZ,ADOSSAT/TERMINAL A,A,01D,30-37,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,72735-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311050800,NORWEGIAN BREAKAWAY,411.9
2025-04-16T06:00:00Z,2025-04-16T04:00:00Z,2025-04-16,06:00:00,2025-04-16T17:00:00Z,2025-04-16T15:00:00Z,2025-04-16,17:00:00,311027100,9417098,SEABOURN SOJOURN,Passatge,67,NA,19819,Bahames,BS,Valencia,ESVLC,Palamos,ESPAL,ADOSSAT/TERMINAL B,B,01D,24-28,OCEAN PORTS & SHIPPING SL,A,Autoritzada,71353-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311027100,SEABOURN SOJOURN,210.56
