ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-01-25T07:00:00Z,2025-01-25T06:00:00Z,2025-01-25,07:00:00,2025-01-25T18:00:00Z,2025-01-25T17:00:00Z,2025-01-25,18:00:00,370648000,9359791,MSC FANTASIA,Passatge,865,NA,3333,Panamà,PA,La Goulette Nord (Halqueloued),TNLGN,Marseille,FRMRS,ADOSSAT/TERMINAL C,C,01D,18-24,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,60407-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:370648000,MSC FANTASIA,794.16
2025-01-25T07:00:00Z,2025-01-25T06:00:00Z,2025-01-25,07:00:00,2025-01-25T17:30:00Z,2025-01-25T16:30:00Z,2025-01-25,17:30:00,247187700,9334856,AIDADIVA,Passatge,73,NA,25189,Itàlia,IT,Valencia,ESVLC,Valencia,ESVLC,ADOSSAT/TERMINAL E,E,01D,2-7,NOATUM MARITIME SPAIN SAU,A,Autoritzada,60420-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247187700,AIDADIVA,922.5
2025-01-25T05:00:00Z,2025-01-25T04:00:00Z,2025-01-25,05:00:00,2025-01-25T06:59:00Z,2025-01-25T05:59:00Z,2025-01-25,06:59:00,370648000,9359791,MSC FANTASIA,Passatge,865,NA,3333,Panamà,PA,La Goulette Nord (Halqueloued),TNLGN,Marseille,FRMRS,NA,NA,00A,NA,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,60407-2,https://www.marinetraffic.com/en/ais/details/ships/mmsi:370648000,MSC FANTASIA,794.16
