ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-08-23T04:00:00Z,2025-08-23T02:00:00Z,2025-08-23,04:00:00,2025-08-23T17:00:00Z,2025-08-23T15:00:00Z,2025-08-23,17:00:00,256191000,9838400,CELEBRITY ASCENT,Passatge,85,NA,3265,Malta,MT,Palma de Mallorca,ESPMI,Nice,FRNCE,ADOSSAT/TERMINAL B,B,01D,24-30,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,60256-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256191000,NA,NA
2025-08-23T03:30:00Z,2025-08-23T01:30:00Z,2025-08-23,03:30:00,2025-08-23T17:00:00Z,2025-08-23T15:00:00Z,2025-08-23,17:00:00,249667000,9372456,CELEBRITY EQUINOX,Passatge,862,NA,3172,Malta,MT,Cadiz,ESCAD,Mykonos,GRJMK,ADOSSAT/TERMINAL C,C,01D,17-23,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,60336-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249667000,NA,NA
2025-08-23T06:30:00Z,2025-08-23T04:30:00Z,2025-08-23,06:30:00,2025-08-23T18:00:00Z,2025-08-23T16:00:00Z,2025-08-23,18:00:00,352594000,9387085,MSC MAGNIFICA,Passatge,785,NA,2938,Panamà,PA,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL D,D,01D,9-15,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,72826-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:352594000,MSC MAGNIFICA,361.71
2025-08-23T07:00:00Z,2025-08-23T05:00:00Z,2025-08-23,07:00:00,2025-08-23T17:00:00Z,2025-08-23T15:00:00Z,2025-08-23,17:00:00,248717000,9745378,MSC SEAVIEW,Passatge,88,NA,323,Malta,MT,Palma de Mallorca,ESPMI,Cannes,FRCEQ,ADOSSAT/TERMINAL H,H,01C,6-12,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,72650-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248717000,MSC SEAVIEW,561.3299999999999
2025-08-23T07:15:00Z,2025-08-23T05:15:00Z,2025-08-23,07:15:00,2025-08-23T21:00:00Z,2025-08-23T19:00:00Z,2025-08-23,21:00:00,311001261,9948827,EMERALD SAKARA,Passatge,5,16,110,Bahames,BS,Palma de Mallorca,ESPMI,Rosas,ESROS,BARCELONA/TERMINAL SUD,S,18C,1-3,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,71985-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311001261,NA,NA
