ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2023-09-17T04:00:00Z,2023-09-17T02:00:00Z,2023-09-17,04:00:00,2023-09-17T18:00:00Z,2023-09-17T16:00:00Z,2023-09-17,18:00:00,311000660,9744001,SYMPHONY OF THE SEAS,Passatge,932,NA,36101,Bahames,BS,Napoli,ITNAP,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL B,B,01D,20-27,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,40314-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000660,SYMPHONY OF THE SEAS,510.41999999999996
2023-09-17T13:00:00Z,2023-09-17T11:00:00Z,2023-09-17,13:00:00,2023-09-19T18:00:00Z,2023-09-19T16:00:00Z,2023-09-19,18:00:00,257850000,9845910,VIKING NEPTUNE,Passatge,645,NA,228,Noruega,NO,Cartagena,ESCAR,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,31-36,A PEREZ Y CIA SL,A,Autoritzada,43097-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:257850000,NA,NA
2023-09-17T08:00:00Z,2023-09-17T06:00:00Z,2023-09-17,08:00:00,2023-09-17T17:30:00Z,2023-09-17T15:30:00Z,2023-09-17,17:30:00,247431200,9781891,COSTA TOSCANA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Cagliari,ITCAG,ADOSSAT/TERMINAL E,E,01D,2-8,A PEREZ Y CIA SL,A,Autoritzada,43099-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247431200,NA,NA
2023-09-17T06:30:00Z,2023-09-17T04:30:00Z,2023-09-17,06:30:00,2023-09-17T18:00:00Z,2023-09-17T16:00:00Z,2023-09-17,18:00:00,311000983,9805336,VALIANT LADY,Passatge,83,NA,277,Bahames,BS,Ibiza,ESIBZ,Marseille,FRMRS,NA,NA,18C,2-7,CREUERS DEL PORT DE BARCELONA SA,A,Autoritzada,44061-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000983,NA,NA
