ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2024-06-16T04:00:00Z,2024-06-16T02:00:00Z,2024-06-16,04:00:00,2024-06-16T17:30:00Z,2024-06-16T15:30:00Z,2024-06-16,17:30:00,311020600,9383936,OASIS OF THE SEAS,Passatge,93,NA,360,Bahames,BS,Napoli,ITNAP,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL B,B,01D,20-27,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,50439-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311020600,OASIS OF THE SEAS,593.38
2024-06-16T03:30:00Z,2024-06-16T01:30:00Z,2024-06-16,03:30:00,2024-06-16T17:00:00Z,2024-06-16T15:00:00Z,2024-06-16,17:00:00,311050900,9606924,NORWEGIAN GETAWAY,Passatge,86,397,32565,Bahames,BS,Palma de Mallorca,ESPMI,Cannes,FRCEQ,ADOSSAT/TERMINAL A,A,01D,31-37,TUI ESPAÑA TURISMO SL,A,Autoritzada,54673-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311050900,NORWEGIAN GETAWAY,500.16
2024-06-16T07:45:00Z,2024-06-16T05:45:00Z,2024-06-16,07:45:00,2024-06-16T19:00:00Z,2024-06-16T17:00:00Z,2024-06-16,19:00:00,247391900,9781889,COSTA SMERALDA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Cagliari,ITCAG,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,52977-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247391900,COSTA SMERALDA,460.84000000000003
2024-06-16T06:30:00Z,2024-06-16T04:30:00Z,2024-06-16,06:30:00,2024-06-16T18:00:00Z,2024-06-16T16:00:00Z,2024-06-16,18:00:00,311000807,9804801,SCARLET LADY,Passatge,83,NA,2772,Bahames,BS,Ibiza,ESIBZ,Toulon,FRTLN,BARCELONA/TERMINAL SUD,S,18C,2-7,CREUERS DEL PORT DE BARCELONA SA,A,Autoritzada,53956-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000807,NA,NA
