ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2026-06-19T08:00:00Z,2026-06-19T06:00:00Z,2026-06-19,08:00:00,2026-06-20T22:00:00Z,2026-06-20T20:00:00Z,2026-06-20,22:00:00,257903000,9650418,VIKING STAR,Passatge,66,NA,2283,Noruega,NO,Marseille,FRMRS,Tarragona,ESTAR,ADOSSAT/TERMINAL C,C,01D,18-22,A PEREZ Y CIA SL,A,Autoritzada,80493-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:257903000,VIKING STAR,306.3
2026-06-19T05:17:00Z,2026-06-19T03:17:00Z,2026-06-19,05:17:00,2026-06-19T18:00:00Z,2026-06-19T16:00:00Z,2026-06-19,18:00:00,247435300,9781877,AIDACOSMA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL D,D,01D,10-17,NOATUM MARITIME SPAIN SAU,I,Iniciada,79665-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247435300,NA,NA
2026-06-19T07:00:00Z,2026-06-19T05:00:00Z,2026-06-19,07:00:00,2026-06-19T17:00:00Z,2026-06-19T15:00:00Z,2026-06-19,17:00:00,311001189,9886213,SILVER NOVA,Passatge,71,29,2436,Bahames,BS,Malaga,ESAGP,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,31-36,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,81845-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311001189,NA,NA
2026-06-19T06:30:00Z,2026-06-19T04:30:00Z,2026-06-19,06:30:00,2026-06-19T18:00:00Z,2026-06-19T16:00:00Z,2026-06-19,18:00:00,256070000,9837420,MSC WORLD EUROPA,Passatge,915,NA,3333,Malta,MT,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL H,H,01C,7-13,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,81421-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256070000,NA,NA
