ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2023-11-16T06:30:00Z,2023-11-16T05:30:00Z,2023-11-16,06:30:00,2023-11-16T20:00:00Z,2023-11-16T19:00:00Z,2023-11-16,20:00:00,311050800,9606912,NORWEGIAN BREAKAWAY,Passatge,86,397,32564,Bahames,BS,Cannes,FRCEQ,Cadiz,ESCAD,ADOSSAT/TERMINAL A,A,01D,31-37,TUI ESPAÑA TURISMO SL,A,Autoritzada,48803-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311050800,NORWEGIAN BREAKAWAY,411.9
2023-11-16T07:00:00Z,2023-11-16T06:00:00Z,2023-11-16,07:00:00,2023-11-17T17:00:00Z,2023-11-17T16:00:00Z,2023-11-17,17:00:00,259186000,9650420,VIKING SKY,Passatge,667,NA,2283,Noruega,NO,Sete,FRSET,"Funchal, Madeira",PTFNC,ADOSSAT/TERMINAL C,C,01D,17-21,A PEREZ Y CIA SL,A,Autoritzada,48985-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:259186000,VIKING SKY,309.11
2023-11-16T06:00:00Z,2023-11-16T05:00:00Z,2023-11-16,06:00:00,2023-11-16T19:00:00Z,2023-11-16T18:00:00Z,2023-11-16,19:00:00,248717000,9745378,MSC SEAVIEW,Passatge,88,NA,323,Malta,MT,Genoa,ITGOA,Marseille,FRMRS,ADOSSAT/TERMINAL E,E,01D,2-8,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,43146-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248717000,MSC SEAVIEW,561.3299999999999
