ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-04-02T08:00:00Z,2025-04-02T06:00:00Z,2025-04-02,08:00:00,2025-04-04T17:30:00Z,2025-04-04T15:30:00Z,2025-04-04,17:30:00,257903000,9650418,VIKING STAR,Passatge,66,NA,2283,Noruega,NO,Marseille,FRMRS,Marseille,FRMRS,ADOSSAT/TERMINAL B,B,01D,25-29,A PEREZ Y CIA SL,A,Autoritzada,60009-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:257903000,VIKING STAR,306.3
2025-04-02T04:45:00Z,2025-04-02T02:45:00Z,2025-04-02,04:45:00,2025-04-02T16:00:00Z,2025-04-02T14:00:00Z,2025-04-02,16:00:00,538010706,9877444,SEVEN SEAS GRANDEUR,Passatge,7,32,224,Illes Marshall,MH,Valencia,ESVLC,Malta (Valetta),MTMLA,ADOSSAT/TERMINAL A,A,01D,32-36,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,72725-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:538010706,NA,NA
