ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2023-11-08T04:30:00Z,2023-11-08T03:30:00Z,2023-11-08,04:30:00,2023-11-08T17:00:00Z,2023-11-08T16:00:00Z,2023-11-08,17:00:00,249048000,9189421,CELEBRITY INFINITY,Passatge,83,NA,294,Malta,MT,Palma de Mallorca,ESPMI,Malaga,ESAGP,ADOSSAT/TERMINAL C,C,01D,17-22,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,40651-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249048000,CELEBRITY INFINITY,463.1
2023-11-08T09:00:00Z,2023-11-08T08:00:00Z,2023-11-08,09:00:00,2023-11-08T19:00:00Z,2023-11-08T18:00:00Z,2023-11-08,19:00:00,247258100,9378498,COSTA PACIFICA,Passatge,83,NA,28959,Itàlia,IT,La Goulette Nord (Halqueloued),TNLGN,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,31-37,A PEREZ Y CIA SL,A,Autoritzada,49003-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247258100,COSTA PACIFICA,1369.77
2023-11-08T07:00:00Z,2023-11-08T06:00:00Z,2023-11-08,07:00:00,2023-11-08T13:00:00Z,2023-11-08T12:00:00Z,2023-11-08,13:00:00,247311100,9479852,COSTA FAVOLOSA,Passatge,83,NA,28965,Itàlia,IT,Cadiz,ESCAD,Savona,ITSVN,ADOSSAT/TERMINAL D,D,01D,10-15,A PEREZ Y CIA SL,A,Autoritzada,49002-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247311100,COSTA FAVOLOSA,1419.09
2023-11-08T09:00:00Z,2023-11-08T08:00:00Z,2023-11-08,09:00:00,2023-11-08T18:00:00Z,2023-11-08T17:00:00Z,2023-11-08,18:00:00,247431800,9801691,COSTA FIRENZE,Passatge,855,NA,32359,Itàlia,IT,Malaga,ESAGP,Marseille,FRMRS,ADOSSAT/TERMINAL E,E,01D,2-8,A PEREZ Y CIA SL,A,Autoritzada,49001-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247431800,COSTA FIRENZE,446.21999999999997
