ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2023-11-25T06:30:00Z,2023-11-25T05:30:00Z,2023-11-25,06:30:00,2023-11-25T18:00:00Z,2023-11-25T17:00:00Z,2023-11-25,18:00:00,370648000,9359791,MSC FANTASIA,Passatge,865,NA,3333,Panamà,PA,Palma de Mallorca,ESPMI,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,31-37,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,43154-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:370648000,MSC FANTASIA,794.16
2023-11-25T05:00:00Z,2023-11-25T04:00:00Z,2023-11-25,05:00:00,2023-11-25T18:00:00Z,2023-11-25T17:00:00Z,2023-11-25,18:00:00,NA,9877444,SEVEN SEAS GRANDEUR,Passatge,7,32,224,Illes Marshall,MH,Ajaccio,FRAJA,Cadiz,ESCAD,ADOSSAT/TERMINAL B,B,01D,24-29,TUI ESPAÑA TURISMO SL,A,Autoritzada,48814-1,NA,NA,NA
2023-11-25T13:00:00Z,2023-11-25T12:00:00Z,2023-11-25,13:00:00,2023-11-25T19:00:00Z,2023-11-25T18:00:00Z,2023-11-25,19:00:00,247431200,9781891,COSTA TOSCANA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Cagliari,ITCAG,ADOSSAT/TERMINAL E,E,01D,2-8,A PEREZ Y CIA SL,A,Autoritzada,48982-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247431200,NA,NA
