ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2023-11-03T07:30:00Z,2023-11-03T06:30:00Z,2023-11-03,07:30:00,2023-11-04T18:00:00Z,2023-11-04T17:00:00Z,2023-11-04,18:00:00,370648000,9359791,MSC FANTASIA,Passatge,865,NA,3333,Panamà,PA,Palma de Mallorca,ESPMI,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,31-37,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,43151-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:370648000,MSC FANTASIA,794.16
2023-11-03T07:00:00Z,2023-11-03T06:00:00Z,2023-11-03,07:00:00,2023-11-03T17:30:00Z,2023-11-03T16:30:00Z,2023-11-03,17:30:00,256070000,9837420,MSC WORLD EUROPA,Passatge,94,NA,333,Malta,MT,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL C,C,01D,16-22,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,43147-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256070000,NA,NA
2023-11-03T07:00:00Z,2023-11-03T06:00:00Z,2023-11-03,07:00:00,2023-11-03T18:00:00Z,2023-11-03T17:00:00Z,2023-11-03,18:00:00,247094800,9239783,COSTA FORTUNA,Passatge,82,NA,2722,Itàlia,IT,Savona,ITSVN,Marseille,FRMRS,ADOSSAT/TERMINAL D,D,01D,10-15,A PEREZ Y CIA SL,A,Autoritzada,49018-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247094800,COSTA FORTUNA,2469.08
2023-11-03T06:00:00Z,2023-11-03T05:00:00Z,2023-11-03,06:00:00,2023-11-03T18:00:00Z,2023-11-03T17:00:00Z,2023-11-03,18:00:00,247435300,9781877,AIDACOSMA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL E,E,01D,2-8,A PEREZ Y CIA SL,A,Autoritzada,49017-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247435300,NA,NA
