ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2026-07-27T07:00:00Z,2026-07-27T05:00:00Z,2026-07-27,07:00:00,2026-07-29T18:00:00Z,2026-07-29T16:00:00Z,2026-07-29,18:00:00,258215000,9725421,VIKING SEA,Passatge,63,NA,2283,Noruega,NO,Marseille,FRMRS,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,32-36,A PEREZ Y CIA SL,A,Autoritzada,80496-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:258215000,VIKING SEA,242.13
2026-07-27T05:45:00Z,2026-07-27T03:45:00Z,2026-07-27,05:45:00,2026-07-27T17:30:00Z,2026-07-27T15:30:00Z,2026-07-27,17:30:00,310624000,9320556,QUEEN VICTORIA,Passatge,79,NA,294,Bermuda,BM,Valencia,ESVLC,Messina,ITMSN,ADOSSAT/TERMINAL D,D,01D,10-16,NOATUM MARITIME SPAIN SAU,A,Autoritzada,79558-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:310624000,QUEEN VICTORIA,355.28999999999996
2026-07-27T06:48:00Z,2026-07-27T04:48:00Z,2026-07-27,06:48:00,2026-07-27T17:00:00Z,2026-07-27T15:00:00Z,2026-07-27,17:00:00,247391900,9781889,COSTA SMERALDA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Ibiza,ESIBZ,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,79548-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247391900,COSTA SMERALDA,460.84000000000003
2026-07-27T10:00:00Z,2026-07-27T08:00:00Z,2026-07-27,10:00:00,2026-07-27T19:00:00Z,2026-07-27T17:00:00Z,2026-07-27,19:00:00,311378000,9070620,MARELLA DISCOVERY 2,Passatge,807,32,26426,Bahames,BS,Saint-Raphael,FRSRL,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL B,B,01D,24-29,INTERCRUISES PORT OPERATIONS SPAIN SLU,A,Autoritzada,81872-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311378000,MARELLA DISCOVERY 2,442.95
