ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2024-05-03T07:45:00Z,2024-05-03T05:45:00Z,2024-05-03,07:45:00,2024-05-04T17:00:00Z,2024-05-04T15:00:00Z,2024-05-04,17:00:00,256216000,9210218,AZAMARA QUEST,Passatge,595,NA,181,Malta,MT,Marseille,FRMRS,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,32-35,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,50978-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256216000,AZAMARA QUEST,173
2024-05-03T07:00:00Z,2024-05-03T05:00:00Z,2024-05-03,07:00:00,2024-05-04T21:00:00Z,2024-05-04T19:00:00Z,2024-05-04,21:00:00,205788000,8800195,LA BELLE DES OCEANS,Passatge,431,NA,103,Bèlgica,BE,Rosas,ESROS,Tarragona,ESTAR,BARCELONA/TERMINAL SUD,S,18C,1-3,TRANSPORTES CONSIGNACION MARITIMAS SA,A,Autoritzada,51364-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:205788000,LA BELLE DES OCEANS,61.190000000000005
2024-05-03T07:00:00Z,2024-05-03T05:00:00Z,2024-05-03,07:00:00,2024-05-03T17:30:00Z,2024-05-03T15:30:00Z,2024-05-03,17:30:00,256070000,9837420,MSC WORLD EUROPA,Passatge,94,NA,333,Malta,MT,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL B,B,01D,24-30,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,53533-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256070000,NA,NA
2024-05-03T07:30:00Z,2024-05-03T05:30:00Z,2024-05-03,07:30:00,2024-05-03T17:00:00Z,2024-05-03T15:00:00Z,2024-05-03,17:00:00,247094800,9239783,COSTA FORTUNA,Passatge,82,NA,2722,Itàlia,IT,Palma de Mallorca,ESPMI,Marseille,FRMRS,ADOSSAT/TERMINAL C,C,01D,17-22,NOATUM MARITIME SPAIN SAU,A,Autoritzada,52943-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247094800,COSTA FORTUNA,2469.08
2024-05-03T11:48:00Z,2024-05-03T09:48:00Z,2024-05-03,11:48:00,2024-05-03T19:00:00Z,2024-05-03T17:00:00Z,2024-05-03,19:00:00,247258100,9378498,COSTA PACIFICA,Passatge,83,NA,290,Itàlia,IT,Savona,ITSVN,Marseille,FRMRS,ADOSSAT/TERMINAL D,D,01D,10-15,NOATUM MARITIME SPAIN SAU,A,Autoritzada,52944-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247258100,COSTA PACIFICA,1369.77
2024-05-03T04:45:00Z,2024-05-03T02:45:00Z,2024-05-03,04:45:00,2024-05-03T19:30:00Z,2024-05-03T17:30:00Z,2024-05-03,19:30:00,247435300,9781877,AIDACOSMA,Passatge,88,NA,337,Itàlia,IT,Alicante,ESALC,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,52953-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247435300,NA,NA
