ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-07-11T04:45:00Z,2025-07-11T02:45:00Z,2025-07-11,04:45:00,2025-07-11T18:00:00Z,2025-07-11T16:00:00Z,2025-07-11,18:00:00,247435300,9781877,AIDACOSMA,Passatge,88,NA,337,Itàlia,IT,Marseille,FRMRS,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,60748-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247435300,NA,NA
2025-07-11T05:45:00Z,2025-07-11T03:45:00Z,2025-07-11,05:45:00,2025-07-11T17:00:00Z,2025-07-11T15:00:00Z,2025-07-11,17:00:00,311000585,9764958,SEABOURN OVATION,Passatge,68,NA,210,Bahames,BS,Valencia,ESVLC,Mahon Menorca,ESMAH,ADOSSAT/TERMINAL D,D,01D,12-16,OCEAN PORTS & SHIPPING SL,A,Autoritzada,71392-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000585,SEABOURN OVATION,225.59
2025-07-11T06:48:00Z,2025-07-11T04:48:00Z,2025-07-11,06:48:00,2025-07-11T18:00:00Z,2025-07-11T16:00:00Z,2025-07-11,18:00:00,256070000,9837420,MSC WORLD EUROPA,Passatge,94,NA,333,Malta,MT,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL H,H,01C,7-13,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,71749-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256070000,NA,NA
