ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2024-05-27T04:00:00Z,2024-05-27T02:00:00Z,2024-05-27,04:00:00,2024-05-27T16:30:00Z,2024-05-27T14:30:00Z,2024-05-27,16:30:00,256191000,9838400,CELEBRITY ASCENT,Passatge,823,NA,326,Malta,MT,La Spezia,ITSPE,Cadiz,ESCAD,ADOSSAT/TERMINAL B,B,01D,24-30,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,50689-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256191000,NA,NA
2024-05-27T17:00:00Z,2024-05-27T15:00:00Z,2024-05-27,17:00:00,2024-05-28T18:00:00Z,2024-05-28T16:00:00Z,2024-05-28,18:00:00,256216000,9210218,AZAMARA QUEST,Passatge,595,NA,181,Malta,MT,Nice,FRNCE,Valencia,ESVLC,BARCELONA/TERMINAL SUD,S,18C,1-4,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,50979-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256216000,AZAMARA QUEST,173
2024-05-27T05:30:00Z,2024-05-27T03:30:00Z,2024-05-27,05:30:00,2024-05-27T19:30:00Z,2024-05-27T17:30:00Z,2024-05-27,19:30:00,309168000,9066667,CRYSTAL SYMPHONY,Passatge,NA,30,NA,Bahames,BS,Palma de Mallorca,ESPMI,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL A,A,01D,32-36,TUI ESPAÑA TURISMO SL,A,Autoritzada,53986-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:309168000,CRYSTAL SYMPHONY,256.03
2024-05-27T17:00:00Z,2024-05-27T15:00:00Z,2024-05-27,17:00:00,2024-05-28T18:00:00Z,2024-05-28T16:00:00Z,2024-05-28,18:00:00,248762000,9210220,AZAMARA PURSUIT,Passatge,595,NA,181,Malta,MT,Nice,FRNCE,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL B,B,01D,26-29,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,51746-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248762000,AZAMARA PURSUIT,180.28
2024-05-27T08:00:00Z,2024-05-27T06:00:00Z,2024-05-27,08:00:00,2024-05-27T18:00:00Z,2024-05-27T16:00:00Z,2024-05-27,18:00:00,311378000,9070620,MARELLA DISCOVERY 2,Passatge,807,32,26426,Bahames,BS,Saint-Raphael,FRSRL,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL C,C,01D,17-22,TUI ESPAÑA TURISMO SL,A,Autoritzada,53987-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311378000,MARELLA DISCOVERY 2,442.95
2024-05-27T07:12:00Z,2024-05-27T05:12:00Z,2024-05-27,07:12:00,2024-05-27T18:30:00Z,2024-05-27T16:30:00Z,2024-05-27,18:30:00,247431200,9781891,COSTA TOSCANA,Passatge,88,NA,337,Itàlia,IT,Palma de Mallorca,ESPMI,Marseille,FRMRS,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,52985-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247431200,NA,NA
