ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2024-05-17T06:45:00Z,2024-05-17T04:45:00Z,2024-05-17,06:45:00,2024-05-17T17:30:00Z,2024-05-17T15:30:00Z,2024-05-17,17:30:00,256070000,9837420,MSC WORLD EUROPA,Passatge,94,NA,333,Malta,MT,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL B,B,01D,23-29,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,53550-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256070000,NA,NA
2024-05-17T07:30:00Z,2024-05-17T05:30:00Z,2024-05-17,07:30:00,2024-05-17T19:00:00Z,2024-05-17T17:00:00Z,2024-05-17,19:00:00,247094800,9239783,COSTA FORTUNA,Passatge,82,NA,2722,Itàlia,IT,Palma de Mallorca,ESPMI,Marseille,FRMRS,ADOSSAT/TERMINAL D,D,01D,10-15,NOATUM MARITIME SPAIN SAU,A,Autoritzada,52962-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247094800,COSTA FORTUNA,2469.08
2024-05-17T04:45:00Z,2024-05-17T02:45:00Z,2024-05-17,04:45:00,2024-05-17T19:30:00Z,2024-05-17T17:30:00Z,2024-05-17,19:30:00,247435300,9781877,AIDACOSMA,Passatge,88,NA,337,Itàlia,IT,Ajaccio,FRAJA,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,52957-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247435300,NA,NA
