ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2024-08-25T04:00:00Z,2024-08-25T02:00:00Z,2024-08-25,04:00:00,2024-08-25T17:30:00Z,2024-08-25T15:30:00Z,2024-08-25,17:30:00,311020600,9383936,OASIS OF THE SEAS,Passatge,93,NA,360,Bahames,BS,Napoli,ITNAP,Palma de Mallorca,ESPMI,ADOSSAT/TERMINAL B,B,01D,20-27,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,50452-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311020600,OASIS OF THE SEAS,593.38
2024-08-25T06:30:00Z,2024-08-25T04:30:00Z,2024-08-25,06:30:00,2024-08-25T18:00:00Z,2024-08-25T16:00:00Z,2024-08-25,18:00:00,311000807,9804801,SCARLET LADY,Passatge,83,NA,2772,Bahames,BS,Ibiza,ESIBZ,Toulon,FRTLN,ADOSSAT/TERMINAL A,A,01D,31-36,CREUERS DEL PORT DE BARCELONA SA,A,Autoritzada,54589-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311000807,NA,NA
2024-08-25T19:31:00Z,2024-08-25T17:31:00Z,2024-08-25,19:31:00,2024-08-26T19:30:00Z,2024-08-26T17:30:00Z,2024-08-26,19:30:00,256343000,9967586,ILMA,Passatge,62,291,242,Malta,MT,St Tropez,FRSTP,St Tropez,FRSTP,ADOSSAT/TERMINAL A,A,01D,32-37,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,53649-2,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256343000,NA,NA
2024-08-25T06:00:00Z,2024-08-25T04:00:00Z,2024-08-25,06:00:00,2024-08-25T19:30:00Z,2024-08-25T17:30:00Z,2024-08-25,19:30:00,256343000,9967586,ILMA,Passatge,62,291,242,Malta,MT,St Tropez,FRSTP,St Tropez,FRSTP,ADOSSAT/TERMINAL D,D,01D,12-16,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,53649-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256343000,NA,NA
2024-08-25T07:45:00Z,2024-08-25T05:45:00Z,2024-08-25,07:45:00,2024-08-25T19:00:00Z,2024-08-25T17:00:00Z,2024-08-25,19:00:00,247391900,9781889,COSTA SMERALDA,Passatge,88,NA,337,Itàlia,IT,Palma de Mallorca,ESPMI,Marseille,FRMRS,ADOSSAT/TERMINAL E,E,01D,2-8,NOATUM MARITIME SPAIN SAU,A,Autoritzada,54521-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247391900,COSTA SMERALDA,460.84000000000003
2024-08-25T05:00:00Z,2024-08-25T03:00:00Z,2024-08-25,05:00:00,2024-08-25T11:00:00Z,2024-08-25T09:00:00Z,2024-08-25,11:00:00,248762000,9210220,AZAMARA PURSUIT,Passatge,595,NA,181,Malta,MT,Toulon,FRTLN,Marseille,FRMRS,BARCELONA/TERMINAL SUD,S,18C,1-4,BALEARES CONSIGNATARIOS SLU,A,Autoritzada,51750-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:248762000,AZAMARA PURSUIT,180.28
