ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2025-11-28T07:00:00Z,2025-11-28T06:00:00Z,2025-11-28,07:00:00,2025-11-28T18:00:00Z,2025-11-28T17:00:00Z,2025-11-28,18:00:00,258024000,9845922,VIKING SATURN,Passatge,665,NA,228,Noruega,NO,Malaga,ESAGP,Marseille,FRMRS,ADOSSAT/TERMINAL A,A,01D,31-36,A PEREZ Y CIA SL,A,Autoritzada,60051-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:258024000,NA,NA
2025-11-28T08:00:00Z,2025-11-28T07:00:00Z,2025-11-28,08:00:00,2025-11-30T18:00:00Z,2025-11-30T17:00:00Z,2025-11-30,18:00:00,257526000,9852432,VIKING VELA,Passatge,645,NA,228,Noruega,NO,Sete,FRSET,Sete,FRSET,ADOSSAT/TERMINAL B,B,01D,24-29,A PEREZ Y CIA SL,A,Autoritzada,60103-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:257526000,NA,NA
2025-11-28T11:30:00Z,2025-11-28T10:30:00Z,2025-11-28,11:30:00,2025-11-30T18:00:00Z,2025-11-30T17:00:00Z,2025-11-30,18:00:00,249596000,9159830,CLIO,Passatge,3,NA,10026,Malta,MT,Mazara del Vallo,ITMAZ,Valencia,ESVLC,BARCELONA/TERMINAL SUD,S,18C,2-4,NOATUM MARITIME SPAIN SAU,A,Autoritzada,61253-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:249596000,NA,NA
2025-11-28T06:30:00Z,2025-11-28T05:30:00Z,2025-11-28,06:30:00,2025-11-28T18:00:00Z,2025-11-28T17:00:00Z,2025-11-28,18:00:00,256070000,9837420,MSC WORLD EUROPA,Passatge,94,NA,333,Malta,MT,Malta (Valetta),MTMLA,Marseille,FRMRS,ADOSSAT/TERMINAL H,H,01C,7-13,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,A,Autoritzada,71878-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:256070000,NA,NA
