ETA,ETAUTC,ETADIA,ETAHORA,ETD,ETDUTC,ETDDIA,ETDHORA,MMSI,IMO,VAIXELLNOM,VAIXELLTIPUS,CALAT_METRES,MANEGA_METRES,ESLORA_METRES,VAIXELLBANDERANOM,VAIXELLBANDERACODI,PORTORIGENNOM,PORTORIGENCODI,PORTDESTINOM,PORTDESTICODI,TERMINALNOM,TERMINALCODI,MOLLCODI,MOLLMODULS,CONSIGNATARI,ESTOPERATIUID,ESCALAESTAT,ESCALANUM,MESINFO,name,annual_average_fuel_consumption_per_distance_kg_n_mile
2023-05-16T04:30:00Z,2023-05-16T02:30:00Z,2023-05-16,04:30:00,2023-05-16T17:00:00Z,2023-05-16T15:00:00Z,2023-05-16,17:00:00,311018500,9410569,NORWEGIAN EPIC,Passatge,903,4064,32945,Bahames,BS,Ibiza,ESIBZ,Cannes,FRCEQ,ADOSSAT/TERMINAL A,A,01D,31-37,TUI ESPAÑA TURISMO SL,I,Iniciada,43982-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:311018500,NORWEGIAN EPIC,568.19
2023-05-16T07:11:00Z,2023-05-16T05:11:00Z,2023-05-16,07:11:00,2023-05-16T18:00:00Z,2023-05-16T16:00:00Z,2023-05-16,18:00:00,215325000,9803613,MSC GRANDIOSA,Passatge,875,NA,331,Malta,MT,Marseille,FRMRS,La Goulette Nord (Halqueloued),TNLGN,ADOSSAT/TERMINAL C,C,01D,17-23,MEDITERRANEAN SHIPPING COM ESPAÑA SLU,I,Iniciada,42685-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:215325000,MSC GRANDIOSA,440.53
2023-05-16T07:34:00Z,2023-05-16T05:34:00Z,2023-05-16,07:34:00,2023-05-17T18:00:00Z,2023-05-17T16:00:00Z,2023-05-17,18:00:00,247322800,9601132,AIDASTELLA,Passatge,73,NA,25326,Itàlia,IT,Valencia,ESVLC,Mahon Menorca,ESMAH,ADOSSAT/TERMINAL D,D,01D,10-15,A PEREZ Y CIA SL,I,Iniciada,42505-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247322800,AIDASTELLA,354.96
2023-05-16T08:04:00Z,2023-05-16T06:04:00Z,2023-05-16,08:04:00,2023-05-16T18:00:00Z,2023-05-16T16:00:00Z,2023-05-16,18:00:00,247311100,9479852,COSTA FAVOLOSA,Passatge,83,NA,28965,Itàlia,IT,Marseille,FRMRS,Valencia,ESVLC,ADOSSAT/TERMINAL E,E,01D,2-7,A PEREZ Y CIA SL,I,Iniciada,42499-1,https://www.marinetraffic.com/en/ais/details/ships/mmsi:247311100,COSTA FAVOLOSA,1419.09
